,site_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
61430,7,2016-01-01 00:00:00,-1.8,,-3.2,,1016.0,280.0,1.5
61431,7,2016-01-01 01:00:00,-1.7,,-2.8,,1016.1,260.0,1.0
61432,7,2016-01-01 02:00:00,-2.7,,-3.3,,1015.8,350.0,0.5
61433,7,2016-01-01 03:00:00,-2.3,,-3.2,,1015.4,280.0,1.5
61434,7,2016-01-01 04:00:00,-2.6,,-3.3,,1015.1,310.0,2.1
61435,7,2016-01-01 05:00:00,-2.2,,-3.6,,1014.7,270.0,2.1
61436,7,2016-01-01 06:00:00,-2.3,,-3.8,,1014.4,260.0,2.1
61437,7,2016-01-01 07:00:00,-2.8,,-4.0,,1014.2,260.0,1.5
61438,7,2016-01-01 08:00:00,-3.0,,-3.8,5.0,1014.1,260.0,1.5
61439,7,2016-01-01 09:00:00,-3.3,,-3.8,,1013.3,230.0,1.0
61440,7,2016-01-01 10:00:00,-3.2,,-3.6,5.0,1012.9,200.0,2.1
61441,7,2016-01-01 11:00:00,-3.1,,-3.6,,1012.1,190.0,3.1
61442,7,2016-01-01 12:00:00,-3.1,,-3.4,2.0,1011.9,200.0,2.1
61443,7,2016-01-01 13:00:00,-2.1,,-3.4,,1011.5,210.0,3.6
61444,7,2016-01-01 14:00:00,-1.2,,-2.9,,1011.5,220.0,3.6
61445,7,2016-01-01 15:00:00,-0.7,,-2.7,,1011.6,220.0,3.6
61446,7,2016-01-01 16:00:00,-0.5,,-2.3,,1011.3,230.0,5.7
61447,7,2016-01-01 17:00:00,-0.3,,-2.3,,1010.4,230.0,5.7
61448,7,2016-01-01 18:00:00,-0.3,,-2.8,3.0,1009.9,230.0,5.7
61449,7,2016-01-01 19:00:00,-0.4,,-2.9,,1009.5,240.0,4.6
61450,7,2016-01-01 20:00:00,-0.7,,-3.3,,1009.3,240.0,4.6
61451,7,2016-01-01 21:00:00,-0.9,,-3.4,,1009.6,240.0,5.1
61452,7,2016-01-01 22:00:00,-1.0,,-3.9,,1010.0,240.0,4.1
